date,cityid,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020-2-24,1,0.00571,-0.00286,0.0714,0.00286,0.0214,-0.00143,0.000625
2020-2-24,2,0.02,-0.0241,0.139,-0.0206,-0.0326,0.0116,-0.00907
2020-2-24,3,0.04,0.0271,0.281,0.0329,0.0257,-0.00857,0.0147
2020-2-24,4,0.0214,-0.00714,0.00286,-0.00286,0.0229,0.00286,-0.00206
2020-2-24,5,0.0329,-0.00143,0.0386,0.0471,0.01,0.00286,-0.00461
2020-2-24,6,0.00571,-0.02,0.0214,0.00143,0.0157,0.00143,-0.00332
2020-2-24,7,0.0114,-0.0129,0.00857,-0.01,0.0314,-0.00286,0.00266
2020-2-24,8,0.0229,-0.00571,0.0657,0.0271,0.00286,0.00286,-0.00501
2020-2-24,9,0.0243,-0.0114,0.381,0.0386,-0.0343,0,0.00142
2020-2-24,10,0.00857,-0.00286,-0.0114,0.0371,0.0286,-0.00286,0.00397
2020-2-24,11,0.00714,0.0343,-0.0386,-0.0229,0.0214,-0.00143,0.00361
2020-2-24,12,-0.0114,-0.0171,0.167,-0.0229,-0.0271,0.00429,-0.00179
2020-2-24,13,0.0486,0.00429,0.29,0.124,0.00286,0.00286,0.00223
2020-2-24,14,0.04,0.00714,0.403,0.0271,0.03,-0.00143,0.00403
2020-2-24,15,0.0357,0.00429,0.221,0.03,0.02,-0.00286,0.00622
2020-2-24,16,0.0143,-0.01,0.00143,-0.00571,0.0343,0.00143,-0.000504
2020-2-24,17,-0.00429,-0.0186,0.0514,0.03,-0.00143,0.0143,-0.0119
2020-2-24,18,0.0457,-0.00714,0.233,0.0343,0.0229,-0.00143,0.00453
2020-2-24,19,0.00429,-0.0129,0.0286,0.0343,0.0143,0.00143,-0.00107
2020-2-24,20,-0.0257,0.00143,0.0743,-0.0243,0.0129,0.00714,-0.00781
2020-2-24,21,0.00429,0.00429,0.124,-0.00857,0.0186,0,-3.16E-08
2020-2-24,22,0.0186,0.00143,-0.219,0.137,0.0229,-0.00429,0.00559
2020-2-24,23,0.0571,0.00571,0.189,0.0271,0.0329,-0.00429,0.00702
2020-2-24,24,0.0557,0.0114,0.313,0.0514,0.02,-0.00857,0.0108
2020-2-24,25,0.0186,-0.0171,0.174,-0.00286,-0.0171,0.01,-0.0073
2020-2-24,26,0.0129,0.00429,-0.00143,2.66E-10,0.0186,0,-0.00162
2020-2-24,27,0.0143,0.05,0.261,0.0214,0.0143,-0.00143,0.00483
2020-2-24,28,-0.0243,0.00286,-0.12,0.0257,0.0214,0.00429,-0.00626
2020-2-24,29,-0.0114,-0.0329,0.14,0.00571,-0.0143,0.00714,-0.00492
2020-2-24,30,0.0271,-0.0171,0.106,0.0614,0.0229,0.00429,-0.00123
2020-2-24,31,0.0586,0.0257,0.179,0.0257,0.0271,-0.00286,0.00804
2020-2-24,32,0.0343,0.05,0.00143,0.00857,0.0171,0,-0.00234
2020-2-24,33,0.0114,0.0429,0.08,0.00286,-0.0429,0.00714,-0.00753
2020-2-24,34,0.0486,0.01,0.197,0.0243,0.0114,-0.00286,0.00429
2020-2-24,35,0.0243,0.00571,0.279,0.0257,0.00286,-0.00286,0.00541
