date,cityid,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh
2020-1-14,1,-0.00621,0.00219,-0.0083,-0.0044
2020-1-14,2,-0.00543,-0.00912,-0.00489,-0.00558
2020-1-14,3,-0.00551,-0.0103,-0.00508,-0.00317
2020-1-14,4,-0.00986,.,-0.0145,-0.0046
2020-1-14,5,-0.00442,-0.00225,-0.00619,-0.00253
2020-1-14,6,-0.00766,0.00787,-0.0128,-0.00582
2020-1-14,7,-0.00479,-0.00952,-0.00647,0.00207
2020-1-14,8,-0.00374,.,-0.00562,-0.00102
2020-1-14,9,-0.00767,-0.0112,-0.0115,-0.00155
2020-1-14,10,-0.00669,0.00187,-0.012,-0.00477
2020-1-14,11,-0.00187,-0.00203,-0.00791,0.013
2020-1-14,12,-0.00664,-0.00799,-0.00813,-0.00483
2020-1-14,13,-0.00691,.,.,-0.00463
2020-1-14,14,-0.0043,-0.0196,.,-0.00346
2020-1-14,15,-0.00526,-0.00156,.,-0.00402
2020-1-14,16,-0.0177,-0.0073,.,-0.0047
2020-1-14,17,-0.00358,-0.0031,-0.00647,0.00154
2020-1-14,18,-0.00528,0.00334,-0.0103,-0.00299
2020-1-14,19,0.00629,0.0219,-0.00411,.
2020-1-14,20,-0.00759,-0.00977,-0.00915,.
2020-1-14,21,-0.00926,-0.00105,-0.00527,-0.0135
2020-1-14,22,-0.0126,-0.00544,.,.
2020-1-14,23,.,.,.,.
2020-1-14,24,-0.0048,.,-0.00645,0.0003
2020-1-14,25,-0.00527,-0.0133,-0.00361,-0.00476
2020-1-14,26,-0.00488,-0.00929,-0.00244,.
2020-1-14,27,-0.00456,.,-0.00301,-0.00608
2020-1-14,28,-0.00632,.,.,-0.00614
2020-1-14,29,-0.00509,0.00133,-0.0079,-0.00332
2020-1-14,30,-0.00495,-0.0052,-0.00501,-0.00464
2020-1-14,31,-0.00427,-0.00596,-0.00386,-0.00241
2020-1-14,32,-0.0105,.,-0.0112,-0.00273
2020-1-14,33,-0.00509,0.00473,-0.0115,-0.000411
2020-1-14,34,-0.00437,0.0174,.,-0.00579
2020-1-14,35,0.00247,0.00996,0.00394,-0.00296
2020-1-14,36,-0.00468,-0.00648,-0.0072,-0.000133
2020-1-14,37,0.00035,.,-0.000753,0.00488
2020-1-14,38,-0.00774,0.000102,-0.0121,-0.00765
2020-1-14,39,-0.0067,.,-0.0125,-0.0119
2020-1-14,40,0.011,-0.00138,.,0.0155
2020-1-14,41,-0.00344,-0.00254,-0.0035,-0.00348
2020-1-14,42,-0.00157,-0.0109,-0.00133,0.00275
2020-1-14,43,-0.00477,-0.00659,-0.0039,-0.00492
2020-1-14,44,-0.00117,-0.00178,-0.00324,0.00419
2020-1-14,45,0.00342,.,.,.
2020-1-14,46,0.0044,.,-0.00346,-0.0000732
2020-1-14,47,-0.0169,0.00262,-0.0272,-0.00614
2020-1-14,48,-0.00687,.,.,.
2020-1-14,49,-0.0143,-0.00348,.,.
2020-1-14,50,-0.00921,-0.0214,-0.00948,0.00608
2020-1-14,51,.,.,.,.
2020-1-14,52,0.000841,.,0.0000724,0.00491
2020-1-14,53,0.00172,0.00517,0.000428,0.000841
2020-1-15,1,-0.00433,0.0000268,-0.00566,-0.0029
2020-1-15,2,-0.00395,-0.00696,-0.00362,-0.00391
2020-1-15,3,-0.00427,-0.0079,-0.0038,-0.00274
2020-1-15,4,-0.00794,.,-0.0114,-0.00382
2020-1-15,5,-0.00396,-0.00348,-0.005,-0.00203
2020-1-15,6,-0.00584,0.00284,-0.00888,-0.00453
2020-1-15,7,-0.0039,-0.00794,-0.00456,0.000773
2020-1-15,8,-0.00251,.,-0.00418,-0.000197
2020-1-15,9,-0.00513,-0.0207,-0.00756,-0.000206
2020-1-15,10,-0.00476,0.00424,-0.00959,-0.00421
2020-1-15,11,-0.00112,-0.00151,-0.00656,0.0129
2020-1-15,12,-0.0045,-0.00527,-0.0054,-0.00343
2020-1-15,13,-0.00499,.,.,-0.00339
2020-1-15,14,-0.00328,-0.0152,.,-0.00369
2020-1-15,15,-0.00422,-0.000234,.,-0.00389
2020-1-15,16,-0.0153,-0.00514,.,-0.0057
2020-1-15,17,-0.00331,-0.00257,-0.00527,-0.000259
2020-1-15,18,-0.00305,0.00306,-0.00678,-0.00102
2020-1-15,19,0.00682,0.0248,-0.00263,.
2020-1-15,20,-0.0058,-0.00813,-0.00636,.
2020-1-15,21,-0.00719,-0.00347,-0.00331,-0.0111
2020-1-15,22,-0.0107,-0.00537,.,.
2020-1-15,23,.,.,.,.
2020-1-15,24,-0.00376,.,-0.00449,-0.000057
2020-1-15,25,-0.00424,-0.0118,-0.00246,-0.00401
2020-1-15,26,-0.00349,-0.00594,-0.00189,.
2020-1-15,27,-0.00332,.,-0.00227,-0.00314
2020-1-15,28,-0.00547,.,.,-0.00618
2020-1-15,29,-0.00373,0.00222,-0.0058,-0.0026
2020-1-15,30,-0.00401,-0.00376,-0.0038,-0.00464
2020-1-15,31,-0.00316,-0.00507,-0.00242,-0.00169
2020-1-15,32,-0.0074,.,-0.00845,-0.00259
2020-1-15,33,-0.00355,0.0048,-0.00805,-0.00228
2020-1-15,34,-0.00241,0.0134,.,-0.00548
2020-1-15,35,0.00386,0.00418,0.00675,-0.00138
2020-1-15,36,-0.00392,-0.00412,-0.00638,-0.000413
