date,cityid,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020-2-24,Los Angeles,0.00571,-0.00286,0.0714,0.00286,0.0214,-0.00143,0.000625
2020-2-24,New York City,0.02,-0.0241,0.139,-0.0206,-0.0326,0.0116,-0.00907
2020-2-24,Chicago,0.04,0.0271,0.281,0.0329,0.0257,-0.00857,0.0147
2020-2-24,Houston,0.0214,-0.0071400000000000005,0.00286,-0.00286,0.0229,0.00286,-0.00206
2020-2-24,Phoenix,0.0329,-0.00143,0.0386,0.0471,0.01,0.00286,-0.00461
2020-2-24,San Diego,0.00571,-0.02,0.0214,0.00143,0.0157,0.00143,-0.0033200000000000005
2020-2-24,Dallas,0.0114,-0.0129,0.00857,-0.01,0.0314,-0.00286,0.00266
2020-2-24,Las Vegas,0.0229,-0.00571,0.0657,0.0271,0.00286,0.00286,-0.0050100000000000006
2020-2-24,Seattle,0.0243,-0.0114,0.381,0.0386,-0.0343,0.0,0.0014199999999999998
2020-2-24,Fort Worth,0.00857,-0.00286,-0.0114,0.0371,0.0286,-0.00286,0.0039700000000000004
2020-2-24,San Antonio,0.0071400000000000005,0.0343,-0.0386,-0.0229,0.0214,-0.00143,0.00361
2020-2-24,San Jose,-0.0114,-0.0171,0.167,-0.0229,-0.0271,0.0042899999999999995,-0.00179
2020-2-24,Detroit,0.0486,0.0042899999999999995,0.29,0.124,0.00286,0.00286,0.00223
2020-2-24,Philadelphia,0.04,0.0071400000000000005,0.403,0.0271,0.03,-0.00143,0.00403
2020-2-24,Columbus,0.0357,0.0042899999999999995,0.221,0.03,0.02,-0.00286,0.006220000000000001
2020-2-24,Austin,0.0143,-0.01,0.00143,-0.00571,0.0343,0.00143,-0.000504
2020-2-24,Charlotte,-0.0042899999999999995,-0.0186,0.0514,0.03,-0.00143,0.0143,-0.0119
2020-2-24,Indianapolis,0.0457,-0.0071400000000000005,0.233,0.0343,0.0229,-0.00143,0.004529999999999999
2020-2-24,Jacksonville,0.0042899999999999995,-0.0129,0.0286,0.0343,0.0143,0.00143,-0.00107
2020-2-24,Memphis,-0.0257,0.00143,0.0743,-0.0243,0.0129,0.0071400000000000005,-0.007809999999999999
2020-2-24,San Francisco,0.0042899999999999995,0.0042899999999999995,0.124,-0.00857,0.0186,0.0,-3.16e-08
2020-2-24,El Paso,0.0186,0.00143,-0.219,0.137,0.0229,-0.0042899999999999995,0.0055899999999999995
2020-2-24,Baltimore,0.0571,0.00571,0.189,0.0271,0.0329,-0.0042899999999999995,0.00702
2020-2-24,Portland,0.0557,0.0114,0.313,0.0514,0.02,-0.00857,0.0108
2020-2-24,Boston,0.0186,-0.0171,0.174,-0.00286,-0.0171,0.01,-0.0073
2020-2-24,Oklahoma City,0.0129,0.0042899999999999995,-0.00143,2.66E-10,0.0186,0.0,-0.00162
2020-2-24,Louisville,0.0143,0.05,0.261,0.0214,0.0143,-0.00143,0.00483
2020-2-24,Denver,-0.0243,0.00286,-0.12,0.0257,0.0214,0.0042899999999999995,-0.00626
2020-2-24,Washington,-0.0114,-0.0329,0.14,0.00571,-0.0143,0.0071400000000000005,-0.00492
2020-2-24,Nashville,0.0271,-0.0171,0.106,0.0614,0.0229,0.0042899999999999995,-0.00123
2020-2-24,Milwaukee,0.0586,0.0257,0.179,0.0257,0.0271,-0.00286,0.00804
2020-2-24,Albuquerque,0.0343,0.05,0.00143,0.00857,0.0171,0.0,-0.00234
2020-2-24,Tucson,0.0114,0.0429,0.08,0.00286,-0.0429,0.0071400000000000005,-0.007529999999999999
2020-2-24,Fresno,0.0486,0.01,0.197,0.0243,0.0114,-0.00286,0.0042899999999999995
2020-2-24,Sacramento,0.0243,0.00571,0.279,0.0257,0.00286,-0.00286,0.00541
2020-2-24,Atlanta,-0.0071400000000000005,-0.0414,0.0171,0.01,0.00143,0.0071400000000000005,-0.00548
2020-2-24,Kansas City,0.05,0.0071400000000000005,0.117,0.0414,0.0586,-0.01,0.0136
2020-2-24,Miami,0.00857,0.00143,0.0371,-0.00286,0.02,0.0,-3.16e-08
2020-2-24,Raleigh,-0.0329,-0.0414,0.0471,0.03,-0.0486,0.0329,-0.032
2020-2-24,Omaha,0.0614,0.0671,0.301,0.0429,0.0286,-0.00857,0.0137
2020-2-24,Oakland,0.00571,0.0171,0.156,0.0257,0.02,-0.00286,0.00541
2020-2-24,Minneapolis,0.0257,0.0143,0.0457,0.0757,0.0171,-0.00571,0.01
2020-2-24,Tampa,0.02,0.0071400000000000005,0.0729,0.0486,0.0186,-0.00143,0.00322
2020-2-24,New Orleans,0.353,0.34600000000000003,0.45,0.899,-0.0514,-0.00571,0.0158
2020-2-24,Wichita,0.0429,0.00143,-0.00571,0.00857,0.0129,0.00143,-0.0016899999999999999
2020-2-24,Cleveland,0.0271,-0.0114,0.307,0.0543,0.0243,-0.0042899999999999995,0.008320000000000001
2020-2-24,Bakersfield,0.0414,-0.00143,0.231,0.0429,0.0114,0.0,0.00040199999999999996
2020-2-24,Honolulu,0.0071400000000000005,-0.0071400000000000005,0.0629,0.0171,0.0114,0.00143,-0.000234
2020-2-24,Boise,0.0457,0.0571,0.349,0.05,0.0229,-0.0071400000000000005,0.00992
2020-2-24,Salt Lake City,0.0543,0.08,0.187,0.0371,0.0314,-0.0042899999999999995,0.00598
2020-2-24,Virginia Beach,-0.00286,-0.0071400000000000005,0.0743,-0.00857,0.0042899999999999995,0.0143,-0.0125
2020-2-24,Colorado Springs,-0.0286,-0.0286,-0.221,-0.0229,-0.0386,0.0257,-0.0302
2020-2-24,Tulsa,0.0157,0.00143,-0.0143,0.0443,0.0114,0.00286,-0.00358
2020-2-25,Los Angeles,0.01,-0.00143,0.0743,0.00429,0.0229,-0.00286,0.00202
2020-2-25,New York City,0.0184,-0.0242,0.142,-0.0129,-0.0153,0.00788,-0.00543
2020-2-25,Chicago,0.0371,0.0243,0.269,0.0257,0.0257,-0.0071400000000000005,0.0133
2020-2-25,Houston,0.0286,-0.0071400000000000005,0.02,-0.00429,0.0243,0.00143,-0.000666
2020-2-25,Phoenix,0.04,-0.00286,0.0386,0.0486,0.0114,0.00286,-0.00461
2020-2-25,San Diego,0.01,-0.0186,0.0343,-0.00143,0.0214,0.0,-0.0019199999999999998
2020-2-25,Dallas,0.0243,-0.00857,0.0486,-0.00429,0.0329,-0.00571,0.00545
2020-2-25,Las Vegas,0.0271,-0.00571,0.0643,0.0243,-0.00286,0.0042899999999999995,-0.0064
2020-2-25,Seattle,0.0243,-0.0129,0.361,0.0343,-0.0214,-0.00143,0.00281
2020-2-25,Fort Worth,0.02,0.00143,0.0329,0.0286,0.0314,-0.00571,0.0067599999999999995
2020-2-25,San Antonio,0.0186,0.04,-0.00857,-0.0229,0.0229,-0.00286,0.0050100000000000006
2020-2-25,San Jose,-0.0071400000000000005,-0.01,0.174,-0.0286,-0.01,0.00286,-0.000392
2020-2-25,Detroit,0.0557,0.0129,0.297,0.126,0.0143,0.0,0.00502
2020-2-25,Philadelphia,0.0386,0.0042899999999999995,0.366,0.0243,0.03,0.0,0.00263
2020-2-25,Columbus,0.0386,0.00857,0.217,0.0271,0.02,-0.00286,0.006220000000000001
2020-2-25,Austin,0.0257,-0.00286,0.0514,-0.01,0.0371,-0.00143,0.00229
