date,cityid,initclaims_count_regular,initclaims_rate_regular
2020-1-11,1,13268,0.259
2020-1-11,2,22479,0.562
2020-1-11,3,4980,0.192
2020-1-11,6,3365,0.212
2020-1-11,8,2187,0.193
2020-1-11,9,1889,0.146
2020-1-11,12,1532,0.145
2020-1-11,14,3306,0.458
2020-1-11,15,586,0.084
2020-1-11,18,591,0.12
2020-1-11,21,955,0.164
2020-1-11,27,846,0.21
2020-1-11,29,706,0.172
2020-1-11,31,1146,0.245
2020-1-11,34,3287,0.729
2020-1-11,35,2235,0.314
2020-1-11,36,1510,0.271
2020-1-11,37,1697,0.467
2020-1-11,41,1624,0.192
2020-1-11,46,991,0.161
2020-1-11,47,2967,0.759
2020-1-11,48,1104,0.245
2020-1-11,49,407,0.16
2020-1-18,1,16551,0.323
2020-1-18,2,17185,0.429
2020-1-18,3,5805,0.224
2020-1-18,6,4198,0.264
2020-1-18,8,2051,0.181
2020-1-18,9,1726,0.134
2020-1-18,12,1912,0.181
2020-1-18,14,2034,0.282
2020-1-18,15,551,0.079
2020-1-18,18,468,0.0949
2020-1-18,21,1191,0.204
2020-1-18,27,657,0.163
2020-1-18,29,594,0.145
2020-1-18,31,953,0.204
2020-1-18,34,4100,0.91
2020-1-18,35,2788,0.391
2020-1-18,36,686,0.123
2020-1-18,37,399,0.11
2020-1-18,41,2025,0.24
2020-1-18,46,853,0.139
2020-1-18,47,3701,0.947
2020-1-18,48,777,0.172
2020-1-18,49,358,0.141
2020-1-25,1,11635,0.227
2020-1-25,2,14484,0.362
2020-1-25,3,3827,0.147
2020-1-25,6,2951,0.186
2020-1-25,8,1773,0.157
2020-1-25,9,1616,0.125
2020-1-25,12,1344,0.128
2020-1-25,14,1676,0.232
2020-1-25,15,470,0.0674
2020-1-25,18,420,0.0852
2020-1-25,21,837,0.144
2020-1-25,27,548,0.136
2020-1-25,29,534,0.13
2020-1-25,31,826,0.177
2020-1-25,34,2882,0.639
2020-1-25,35,1960,0.275
2020-1-25,36,442,0.0794
2020-1-25,37,434,0.119
2020-1-25,41,1424,0.169
2020-1-25,46,732,0.119
2020-1-25,47,2602,0.666
2020-1-25,48,650,0.144
2020-1-25,49,231,0.0909
2020-2-1,1,11090,0.217
2020-2-1,2,15952,0.399
2020-2-1,3,3663,0.141
2020-2-1,5,1319,0.0571
2020-2-1,6,2813,0.177
2020-2-1,8,1949,0.172
2020-2-1,9,1408,0.109
