date,cityid,initclaims_count_regular,initclaims_rate_regular
2020-1-11,Los Angeles,13268,0.259
2020-1-11,New York City,22479,0.562
2020-1-11,Chicago,4980,0.192
2020-1-11,San Diego,3365,0.212
2020-1-11,Las Vegas,2187,0.193
2020-1-11,Seattle,1889,0.146
2020-1-11,San Jose,1532,0.145
2020-1-11,Philadelphia,3306,0.458
2020-1-11,Columbus,586,0.084
2020-1-11,Indianapolis,591,0.12
2020-1-11,San Francisco,955,0.164
2020-1-11,Louisville,846,0.21
2020-1-11,Washington,706,0.172
2020-1-11,Milwaukee,1146,0.245
2020-1-11,Fresno,3287,0.729
2020-1-11,Sacramento,2235,0.314
2020-1-11,Atlanta,1510,0.271
2020-1-11,Kansas City,1697,0.467
2020-1-11,Oakland,1624,0.192
2020-1-11,Cleveland,991,0.161
2020-1-11,Bakersfield,2967,0.759
2020-1-11,Honolulu,1104,0.245
2020-1-11,Boise,407,0.16
2020-1-18,Los Angeles,16551,0.323
2020-1-18,New York City,17185,0.429
2020-1-18,Chicago,5805,0.224
2020-1-18,San Diego,4198,0.264
2020-1-18,Las Vegas,2051,0.181
2020-1-18,Seattle,1726,0.134
2020-1-18,San Jose,1912,0.181
2020-1-18,Philadelphia,2034,0.282
2020-1-18,Columbus,551,0.079
2020-1-18,Indianapolis,468,0.0949
2020-1-18,San Francisco,1191,0.204
2020-1-18,Louisville,657,0.163
2020-1-18,Washington,594,0.145
2020-1-18,Milwaukee,953,0.204
2020-1-18,Fresno,4100,0.91
2020-1-18,Sacramento,2788,0.391
2020-1-18,Atlanta,686,0.123
2020-1-18,Kansas City,399,0.11
2020-1-18,Oakland,2025,0.24
2020-1-18,Cleveland,853,0.139
2020-1-18,Bakersfield,3701,0.947
2020-1-18,Honolulu,777,0.172
2020-1-18,Boise,358,0.141
2020-1-25,Los Angeles,11635,0.227
2020-1-25,New York City,14484,0.362
2020-1-25,Chicago,3827,0.147
2020-1-25,San Diego,2951,0.186
2020-1-25,Las Vegas,1773,0.157
2020-1-25,Seattle,1616,0.125
2020-1-25,San Jose,1344,0.128
2020-1-25,Philadelphia,1676,0.232
2020-1-25,Columbus,470,0.0674
2020-1-25,Indianapolis,420,0.0852
2020-1-25,San Francisco,837,0.144
2020-1-25,Louisville,548,0.136
2020-1-25,Washington,534,0.13
2020-1-25,Milwaukee,826,0.177
2020-1-25,Fresno,2882,0.639
2020-1-25,Sacramento,1960,0.275
2020-1-25,Atlanta,442,0.0794
2020-1-25,Kansas City,434,0.119
2020-1-25,Oakland,1424,0.169
2020-1-25,Cleveland,732,0.119
2020-1-25,Bakersfield,2602,0.666
2020-1-25,Honolulu,650,0.144
2020-1-25,Boise,231,0.0909
