date,cityid,engagement,badges,break_engagement,break_badges
2019-1-13,1,0.123,0.179,.,.
2019-1-20,1,-0.0251,-0.074,.,.
2019-1-27,1,0.0353,-0.107,.,.
2019-2-3,1,0.131,0.172,.,.
2019-2-10,1,0.151,0.257,.,.
2019-2-17,1,0.12,0.184,.,.
2019-2-24,1,0.0895,0.12,.,.
2019-3-3,1,0.15,0.337,.,.
2019-3-10,1,0.16,0.347,.,.
2019-3-17,1,0.158,0.353,.,.
2019-3-24,1,0.112,0.381,.,.
2019-3-31,1,0.129,0.389,.,.
2019-4-7,1,0.0428,0.246,.,.
2019-4-14,1,0.0811,0.247,.,.
2019-4-21,1,-0.146,-0.0245,.,.
2019-4-28,1,0.0493,0.189,.,.
2019-5-5,1,0.0229,0.221,.,.
2019-5-12,1,.,.,-0.0174,0.14
2019-5-19,1,.,.,-0.0507,0.107
2019-5-26,1,.,.,-0.103,-0.014
2019-6-2,1,.,.,-0.283,-0.33
2019-6-9,1,.,.,-0.518,-0.547
2019-6-16,1,.,.,-0.886,-0.9
2019-6-23,1,.,.,-0.965,-0.966
2019-6-30,1,.,.,-0.98,-0.978
2019-7-7,1,.,.,-0.987,-0.986
2019-7-14,1,.,.,-0.984,-0.98
2019-7-21,1,.,.,-0.988,-0.982
2019-7-28,1,.,.,-0.988,-0.986
2019-8-4,1,.,.,-0.989,-0.985
2019-8-11,1,.,.,-0.988,-0.986
2019-8-18,1,.,.,-0.879,-0.93
2019-8-25,1,.,.,-0.534,-0.622
2019-9-1,1,.,.,-0.252,-0.271
2019-9-8,1,.,.,-0.116,-0.138
2019-9-15,1,.,.,0.107,0.16
2019-9-22,1,0.155,0.196,.,.
2019-9-29,1,0.184,0.258,.,.
2019-10-6,1,0.165,0.181,.,.
2019-10-13,1,0.118,0.0915,.,.
2019-10-20,1,0.183,0.13,.,.
2019-10-27,1,0.212,0.236,.,.
2019-1-13,2,0.056,0.161,.,.
2019-1-20,2,0.0164,0.00647,.,.
2019-1-27,2,-0.0219,-0.0807,.,.
2019-2-3,2,-0.0324,-0.0789,.,.
2019-2-10,2,-0.0838,-0.144,.,.
2019-2-17,2,-0.0912,-0.103,.,.
2019-2-24,2,-0.412,-0.45,.,.
2019-3-3,2,-0.155,-0.227,.,.
2019-3-10,2,-0.193,-0.285,.,.
2019-3-17,2,-0.145,-0.153,.,.
2019-3-24,2,-0.11,0.00394,.,.
2019-3-31,2,-0.16,-0.0906,.,.
2019-4-7,2,-0.196,-0.2,.,.
2019-4-14,2,-0.19,-0.165,.,.
2019-4-21,2,-0.357,-0.397,.,.
2019-4-28,2,-0.564,-0.606,.,.
2019-5-5,2,-0.358,-0.441,.,.
2019-5-12,2,.,.,-0.225,-0.279
2019-5-19,2,.,.,-0.25,-0.24
2019-5-26,2,.,.,-0.24,-0.261
2019-6-2,2,.,.,-0.349,-0.389
2019-6-9,2,.,.,-0.435,-0.47
2019-6-16,2,.,.,-0.465,-0.522
2019-6-23,2,.,.,-0.616,-0.694
2019-6-30,2,.,.,-0.871,-0.904
2019-7-7,2,.,.,-0.976,-0.979
2019-7-14,2,.,.,-0.97,-0.974
2019-7-21,2,.,.,-0.977,-0.973
2019-7-28,2,.,.,-0.976,-0.977
2019-8-4,2,.,.,-0.982,-0.981
2019-8-11,2,.,.,-0.981,-0.982
2019-8-18,2,.,.,-0.958,-0.976
2019-8-25,2,.,.,-0.921,-0.938
2019-9-1,2,.,.,-0.87,-0.914
2019-9-8,2,.,.,-0.798,-0.906
2019-9-15,2,.,.,-0.456,-0.671
2019-9-22,2,-0.281,-0.407,.,.
2019-9-29,2,-0.246,-0.3,.,.
2019-10-6,2,-0.325,-0.411,.,.
2019-10-13,2,-0.234,-0.36,.,.
2019-10-20,2,-0.271,-0.409,.,.
2019-10-27,2,-0.216,-0.279,.,.
2019-1-13,3,0.0963,0.212,.,.
2019-1-20,3,0.0993,0.156,.,.
2019-1-27,3,0.0157,-0.0514,.,.
2019-2-3,3,-0.161,-0.212,.,.
2019-2-10,3,0.0732,0.158,.,.
2019-2-17,3,0.0243,0.0894,.,.
2019-2-24,3,0.0407,0.0752,.,.
2019-3-3,3,0.047,0.208,.,.
2019-3-10,3,0.0307,0.246,.,.
2019-3-17,3,-0.00825,0.165,.,.
2019-3-24,3,-0.0279,0.0898,.,.
2019-3-31,3,-0.28,-0.171,.,.
2019-4-7,3,-0.0932,0.0465,.,.
2019-4-14,3,-0.0955,-0.00383,.,.
2019-4-21,3,-0.192,-0.176,.,.
2019-4-28,3,-0.0659,0.0891,.,.
2019-5-5,3,-0.0367,0.135,.,.
2019-5-12,3,.,.,-0.0682,0.0658
2019-5-19,3,.,.,-0.0882,0.0948
2019-5-26,3,.,.,-0.154,-0.0518
2019-6-2,3,.,.,-0.421,-0.482
2019-6-9,3,.,.,-0.673,-0.682
2019-6-16,3,.,.,-0.83,-0.834
2019-6-23,3,.,.,-0.942,-0.954
2019-6-30,3,.,.,-0.977,-0.983
2019-7-7,3,.,.,-0.986,-0.99
2019-7-14,3,.,.,-0.982,-0.987
2019-7-21,3,.,.,-0.985,-0.991
2019-7-28,3,.,.,-0.987,-0.988
2019-8-4,3,.,.,-0.99,-0.985
2019-8-11,3,.,.,-0.989,-0.986
2019-8-18,3,.,.,-0.926,-0.976
2019-8-25,3,.,.,-0.807,-0.848
2019-9-1,3,.,.,-0.607,-0.67
2019-9-8,3,.,.,-0.467,-0.543
2019-9-15,3,.,.,-0.235,-0.219
2019-9-22,3,-0.106,-0.0112,.,.
2019-9-29,3,-0.0344,0.142,.,.
2019-10-6,3,-0.025,0.0868,.,.
2019-10-13,3,-0.0454,0.0264,.,.
2019-10-20,3,-0.14,-0.165,.,.
2019-10-27,3,-0.194,-0.161,.,.
2019-1-13,4,-0.0189,-0.243,.,.
2019-1-20,4,-0.0298,0.0044,.,.
2019-1-27,4,-0.0332,-0.102,.,.
2019-2-3,4,0.106,0.294,.,.
2019-2-10,4,0.188,0.542,.,.
2019-2-17,4,0.0607,0.224,.,.
2019-2-24,4,-0.0282,0.0601,.,.
2019-3-3,4,-0.0769,-0.165,.,.
2019-3-10,4,-0.199,-0.255,.,.
2019-3-17,4,-0.591,-0.602,.,.
2019-3-24,4,-0.147,-0.141,.,.
2019-3-31,4,-0.15,-0.0375,.,.
2019-4-7,4,-0.25,-0.322,.,.
2019-4-14,4,-0.355,-0.396,.,.
2019-4-21,4,-0.442,-0.556,.,.
2019-4-28,4,-0.464,-0.634,.,.
2019-5-5,4,-0.554,-0.655,.,.
2019-5-12,4,.,.,-0.593,-0.636
2019-5-19,4,.,.,-0.551,-0.606
2019-5-26,4,.,.,-0.566,-0.63
2019-6-2,4,.,.,-0.743,-0.835
2019-6-9,4,.,.,-0.908,-0.958
2019-6-16,4,.,.,-0.963,-0.964
2019-6-23,4,.,.,-0.965,-0.959
2019-6-30,4,.,.,-0.965,-0.968
2019-7-7,4,.,.,-0.957,-0.963
2019-7-14,4,.,.,-0.96,-0.963
2019-7-21,4,.,.,-0.952,-0.952
2019-7-28,4,.,.,-0.955,-0.933
2019-8-4,4,.,.,-0.96,-0.945
2019-8-11,4,.,.,-0.954,-0.898
2019-8-18,4,.,.,-0.958,-0.906
2019-8-25,4,.,.,-0.859,-0.919
2019-9-1,4,.,.,-0.58,-0.701
2019-9-8,4,.,.,-0.453,-0.534
2019-9-15,4,.,.,-0.313,-0.29
2019-9-22,4,-0.361,-0.38,.,.
2019-9-29,4,-0.167,-0.221,.,.
2019-10-6,4,-0.16,-0.326,.,.
2019-10-13,4,-0.306,-0.403,.,.
2019-10-20,4,-0.326,-0.512,.,.
2019-10-27,4,-0.3,-0.443,.,.
2019-1-13,5,-0.0208,0.0626,.,.
2019-1-20,5,0.0216,0.00845,.,.
2019-1-27,5,-0.024,-0.133,.,.
2019-2-3,5,0.0453,0.058,.,.
2019-2-10,5,0.0738,0.106,.,.
2019-2-17,5,0.0204,0.0276,.,.
2019-2-24,5,0.000817,-0.0102,.,.
2019-3-3,5,0.0427,0.122,.,.
2019-3-10,5,-0.00972,0.0509,.,.
2019-3-17,5,-0.291,-0.296,.,.
2019-3-24,5,-0.171,-0.164,.,.
2019-3-31,5,-0.0482,0.0616,.,.
2019-4-7,5,-0.0867,-0.0295,.,.
2019-4-14,5,-0.0965,-0.0479,.,.
2019-4-21,5,-0.168,-0.119,.,.
2019-4-28,5,-0.0293,0.0545,.,.
2019-5-5,5,-0.075,0.0236,.,.
2019-5-12,5,.,.,-0.117,-0.0967
2019-5-19,5,.,.,-0.24,-0.238
2019-5-26,5,.,.,-0.664,-0.733
2019-6-2,5,.,.,-0.975,-0.977
2019-6-9,5,.,.,-0.977,-0.975
2019-6-16,5,.,.,-0.979,-0.975
2019-6-23,5,.,.,-0.981,-0.976
2019-6-30,5,.,.,-0.984,-0.98
2019-7-7,5,.,.,-0.988,-0.987
2019-7-14,5,.,.,-0.987,-0.985
2019-7-21,5,.,.,-0.989,-0.986
2019-7-28,5,.,.,-0.984,-0.985
2019-8-4,5,.,.,-0.935,-0.942
2019-8-11,5,.,.,-0.642,-0.775
2019-8-18,5,.,.,-0.206,-0.313
2019-8-25,5,.,.,-0.0505,-0.0528
2019-9-1,5,.,.,0.0399,0.0207
2019-9-8,5,.,.,0.0282,-0.0126
2019-9-15,5,.,.,0.113,0.102
