date,cityid,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh
2020-1-14,Los Angeles,-0.00621,0.00219,-0.0083,-0.0044
2020-1-14,New York City,-0.00543,-0.00912,-0.00489,-0.00558
2020-1-14,Chicago,-0.00551,-0.0103,-0.00508,-0.00317
2020-1-14,Houston,-0.00986,.,-0.0145,-0.0046
2020-1-14,Phoenix,-0.00442,-0.00225,-0.00619,-0.00253
2020-1-14,San Diego,-0.00766,0.00787,-0.0128,-0.00582
2020-1-14,Dallas,-0.00479,-0.00952,-0.00647,0.00207
2020-1-14,Las Vegas,-0.00374,.,-0.00562,-0.00102
2020-1-14,Seattle,-0.00767,-0.0112,-0.0115,-0.00155
2020-1-14,Fort Worth,-0.00669,0.00187,-0.012,-0.00477
2020-1-14,San Antonio,-0.00187,-0.00203,-0.00791,0.013
2020-1-14,San Jose,-0.00664,-0.00799,-0.00813,-0.00483
2020-1-14,Detroit,-0.00691,.,.,-0.00463
2020-1-14,Philadelphia,-0.0043,-0.0196,.,-0.00346
2020-1-14,Columbus,-0.00526,-0.00156,.,-0.00402
2020-1-14,Austin,-0.0177,-0.0073,.,-0.0047
2020-1-14,Charlotte,-0.00358,-0.0031,-0.00647,0.00154
2020-1-14,Indianapolis,-0.00528,0.00334,-0.0103,-0.00299
2020-1-14,Jacksonville,0.00629,0.0219,-0.00411,.
2020-1-14,Memphis,-0.00759,-0.00977,-0.00915,.
2020-1-14,San Francisco,-0.00926,-0.00105,-0.00527,-0.0135
2020-1-14,El Paso,-0.0126,-0.00544,.,.
2020-1-14,Baltimore,.,.,.,.
2020-1-14,Portland,-0.0048,.,-0.00645,0.0003
2020-1-14,Boston,-0.00527,-0.0133,-0.00361,-0.00476
2020-1-14,Oklahoma City,-0.00488,-0.00929,-0.00244,.
2020-1-14,Louisville,-0.00456,.,-0.00301,-0.00608
2020-1-14,Denver,-0.00632,.,.,-0.00614
2020-1-14,Washington,-0.00509,0.00133,-0.0079,-0.00332
2020-1-14,Nashville,-0.00495,-0.0052,-0.00501,-0.00464
2020-1-14,Milwaukee,-0.00427,-0.00596,-0.00386,-0.00241
2020-1-14,Albuquerque,-0.0105,.,-0.0112,-0.00273
2020-1-14,Tucson,-0.00509,0.00473,-0.0115,-0.000411
2020-1-14,Fresno,-0.00437,0.0174,.,-0.00579
2020-1-14,Sacramento,0.00247,0.00996,0.00394,-0.00296
2020-1-14,Atlanta,-0.00468,-0.00648,-0.0072,-0.000133
2020-1-14,Kansas City,0.00035,.,-0.000753,0.00488
