date,cityid,merchants_all,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
2020-1-10,Los Angeles,-0.00318,-0.0032500001,-0.0023000001,-0.009170000400000001,0.00049499999
2020-1-10,New York City,1.86e-05,0.0036500001,-0.0124,-0.0121,0.00232
2020-1-10,Chicago,-0.024499998999999998,-0.022299998999999997,-0.055599999000000004,-0.040600002,-0.019200001
2020-1-10,Houston,0.0034799999999999996,0.0173,0.015799999,0.0126,0.0060299998
2020-1-10,Phoenix,0.0073299999,0.023499999,-0.0083299996,0.0081799999,0.0105
2020-1-10,San Diego,-0.000394,0.0060299998,-0.0025800001000000003,0.0137,-0.0119
2020-1-10,Dallas,0.0038999999,-0.00385,0.0098000001,0.0044900002,0.0134
2020-1-10,Las Vegas,0.00229,0.00685,-0.0129,-0.0080899997,-0.0062699997999999995
2020-1-10,Seattle,0.022000000000000002,0.0152,0.036200002,0.029200001,0.0138
2020-1-10,Fort Worth,0.0122,0.0188,0.0392,-0.00345,0.02
2020-1-10,San Antonio,0.0080000004,0.0028699999999999997,0.0037199998999999997,0.013000000000000001,0.0117
2020-1-10,San Jose,-0.00044500001,0.0136,-0.031599998,0.019200001,-0.00162
2020-1-10,Detroit,0.0061499998,0.0085300002,-0.053300001,0.0021200001,-0.0010400000000000001
2020-1-10,Philadelphia,-0.0055399998,-0.0080899997,0.058899999,0.0016600000000000002,-0.0147
2020-1-10,Columbus,-0.0178,-0.019400001,-0.019400001,-0.0149,-0.0029500001
2020-1-10,Austin,-7.6900003e-05,-0.0114,0.038199998,-0.0136,0.0073099998
2020-1-10,Charlotte,0.0061699999,0.00575,-0.0125,0.0155,-0.0060700001
2020-1-10,Indianapolis,-0.0284,-0.0151,-0.0070799999,-0.07620000099999999,-0.0189
2020-1-10,Jacksonville,0.0026,0.0048099998,-0.0035399998999999997,-0.00404,-0.0184
2020-1-10,Memphis,0.0145,0.0087799998,0.0206,0.0089699998,0.0026100001
2020-1-10,San Francisco,0.0152,0.0125,0.020099999,0.028100001,0.0082799997
2020-1-10,El Paso,-0.0041999999,-0.0129,-0.0189,0.025,-0.00391
2020-1-10,Baltimore,-0.0142,-0.016799999,-0.00050099997,5.5e-05,-0.018100001
2020-1-10,Portland,0.015900001,0.0126,0.030099999,0.0178,0.038699999
2020-1-10,Boston,0.000596,0.00173,-0.042800002000000004,0.029300001000000003,0.0108
2020-1-10,Oklahoma City,0.0146,0.00183,0.044199999000000004,0.031599998,0.023499999
2020-1-10,Louisville,0.0152,0.0099999998,0.0208,0.0073600002,0.013999999999999999
2020-1-10,Denver,-0.00303,-0.0060700001,-0.030200001,0.012,-0.0084600002
2020-1-10,Washington,-0.0261,-0.0129,-0.09399999699999999,-0.036400001,-0.049800000999999997
2020-1-10,Nashville,0.0199,0.0196,0.029100001,0.016000001,0.0359
2020-1-10,Milwaukee,-0.030400001,-0.0174,-0.0294,-0.065200001,-0.0266
2020-1-10,Albuquerque,0.0061400002000000006,0.0036599999,0.048999999,-0.0090899998,0.0033199999
2020-1-10,Tucson,-0.00398,0.0007200000099999999,0.00303,0.0233,-0.0207
2020-1-10,Fresno,0.0027000001,-0.0037499999,0.024599998999999997,0.0070099998,0.0067500002
2020-1-10,Sacramento,0.017999999,0.015799999,0.0073699998,0.025599999,-0.0046299999
2020-1-10,Atlanta,0.0017,0.0084800003,0.024599998999999997,-0.0141,-0.0037199998999999997
2020-1-10,Kansas City,0.0071100001000000005,0.0152,0.0112,-0.037900001,0.0022499999
2020-1-10,Miami,0.0052899997999999995,0.00364,0.028000001,0.023800001,-0.0127
2020-1-10,Raleigh,0.0046899999,-0.0069800001,-0.0138,0.0012900000000000001,0.0010400000000000001
2020-1-10,Omaha,-0.0139,-0.023600001000000002,-0.00403,-0.008440000000000001,-0.0244
